station,line,product,direction,planned_when,actual_when,delay_seconds
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-04T00:50:00+02:00,2026-08-04T00:50:00+02:00,0.0
alexanderplatz,U8,subway,Hermannplatz,2026-08-04T00:50:00+02:00,2026-08-04T00:50:00+02:00,0.0
alexanderplatz,S3,suburban,S Erkner Bhf,2026-08-04T00:52:00+02:00,2026-08-04T00:52:00+02:00,0.0
alexanderplatz,S3,suburban,S Westkreuz (Berlin),2026-08-04T00:55:00+02:00,2026-08-04T00:55:00+02:00,0.0
alexanderplatz,S5,suburban,S+U Lichtenberg Bhf (Berlin),2026-08-04T00:57:00+02:00,2026-08-04T00:57:00+02:00,0.0
alexanderplatz,U8,subway,Osloer Str.,2026-08-04T00:58:00+02:00,2026-08-04T00:58:00+02:00,0.0
alexanderplatz,S7,suburban,S Potsdam Hauptbahnhof,2026-08-04T01:00:00+02:00,2026-08-04T01:00:00+02:00,0.0
alexanderplatz,N2,bus,S+U Zoologischer Garten,2026-08-04T01:00:00+02:00,2026-08-04T01:00:00+02:00,0.0
alexanderplatz,N40,bus,S Karlshorst,2026-08-04T01:00:00+02:00,2026-08-04T01:00:00+02:00,0.0
alexanderplatz,U5,subway,Hauptbahnhof,2026-08-04T01:00:00+02:00,2026-08-04T01:00:00+02:00,0.0
alexanderplatz,N40,bus,Perleberger Brücke via S+U Hauptbahnhof,2026-08-04T00:58:00+02:00,2026-08-04T01:01:00+02:00,180.0
alexanderplatz,S9,suburban,S Ostbahnhof (Berlin),2026-08-04T01:02:00+02:00,2026-08-04T01:02:00+02:00,0.0
alexanderplatz,S9,suburban,S Westkreuz (Berlin),2026-08-04T01:03:00+02:00,2026-08-04T01:03:00+02:00,0.0
alexanderplatz,S7,suburban,S+U Lichtenberg Bhf (Berlin),2026-08-04T01:05:00+02:00,2026-08-04T01:05:00+02:00,0.0
alexanderplatz,N8,bus,U Hermannplatz,2026-08-04T01:42:00+02:00,2026-08-04T01:43:00+02:00,60.0
alexanderplatz,S9,suburban,S Westkreuz (Berlin),2026-08-04T01:43:00+02:00,2026-08-04T01:44:00+02:00,60.0
alexanderplatz,N65,bus,Rahnsdorf/Waldschänke,2026-08-04T01:44:00+02:00,2026-08-04T01:44:00+02:00,0.0
alexanderplatz,N2,bus,U Ruhleben,2026-08-04T01:45:00+02:00,2026-08-04T01:44:00+02:00,-60.0
alexanderplatz,N2,bus,S+U Pankow,2026-08-04T01:44:00+02:00,2026-08-04T01:46:00+02:00,120.0
alexanderplatz,N5,bus,S+U Wuhletal,2026-08-04T01:47:00+02:00,2026-08-04T01:47:00+02:00,0.0
alexanderplatz,N8,bus,U Osloer Str.,2026-08-04T01:48:00+02:00,2026-08-04T01:49:00+02:00,60.0
alexanderplatz,N8,bus,U Hermannplatz,2026-08-04T01:52:00+02:00,2026-08-04T01:52:00+02:00,0.0
alexanderplatz,N8,bus,"Märkisches Viertel, Wilhelmsruher Damm",2026-08-04T01:58:00+02:00,2026-08-04T01:57:00+02:00,-60.0
alexanderplatz,N40,bus,Perleberger Brücke via S+U Hauptbahnhof,2026-08-04T01:58:00+02:00,2026-08-04T01:58:00+02:00,0.0
alexanderplatz,N60,bus,Flughafen BER,2026-08-04T01:59:00+02:00,2026-08-04T01:59:00+02:00,0.0
alexanderplatz,N2,bus,S+U Zoologischer Garten,2026-08-04T02:00:00+02:00,2026-08-04T02:00:00+02:00,0.0
alexanderplatz,N5,bus,"Hellersdorf, Riesaer Str.",2026-08-04T02:00:00+02:00,2026-08-04T02:00:00+02:00,0.0
alexanderplatz,N5,bus,S+U Hauptbahnhof,2026-08-04T02:00:00+02:00,2026-08-04T02:00:00+02:00,0.0
alexanderplatz,N40,bus,S Karlshorst,2026-08-04T02:00:00+02:00,2026-08-04T02:00:00+02:00,0.0
alexanderplatz,N8,bus,S+U Hermannstr.,2026-08-04T02:00:00+02:00,2026-08-04T02:01:00+02:00,60.0
alexanderplatz,N42,bus,S Südkreuz,2026-08-04T02:04:00+02:00,2026-08-04T02:04:00+02:00,0.0
alexanderplatz,M5,tram,"Hohenschönhausen, Zingster Str.",2026-08-04T02:04:00+02:00,2026-08-04T02:04:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-04T02:07:00+02:00,2026-08-04T02:07:00+02:00,0.0
alexanderplatz,N8,bus,U Osloer Str.,2026-08-04T02:08:00+02:00,2026-08-04T02:08:00+02:00,0.0
alexanderplatz,M4,tram,Falkenberg,2026-08-04T02:08:00+02:00,2026-08-04T02:08:00+02:00,0.0
alexanderplatz,M2,tram,Am Steinberg,2026-08-04T02:11:00+02:00,2026-08-04T02:11:00+02:00,0.0
alexanderplatz,M5,tram,S Hackescher Markt,2026-08-04T02:11:00+02:00,2026-08-04T02:11:00+02:00,0.0
alexanderplatz,N8,bus,U Hermannplatz,2026-08-04T02:12:00+02:00,2026-08-04T02:12:00+02:00,0.0
alexanderplatz,M4,tram,S Hackescher Markt,2026-08-04T03:07:00+02:00,2026-08-04T03:08:00+02:00,60.0
alexanderplatz,N8,bus,U Osloer Str.,2026-08-04T03:13:00+02:00,2026-08-04T03:10:00+02:00,-180.0
alexanderplatz,M5,tram,S Hackescher Markt,2026-08-04T03:11:00+02:00,2026-08-04T03:13:00+02:00,120.0
alexanderplatz,N2,bus,S+U Pankow,2026-08-04T03:14:00+02:00,2026-08-04T03:13:00+02:00,-60.0
alexanderplatz,N65,bus,Rahnsdorf/Waldschänke,2026-08-04T03:14:00+02:00,2026-08-04T03:14:00+02:00,0.0
alexanderplatz,N2,bus,U Ruhleben,2026-08-04T03:15:00+02:00,2026-08-04T03:15:00+02:00,0.0
